
2 Directores Creativos,Santa Cruz de la Sierra, Bolivia, Estado plurinacional de,06/06/12
Especialista en Facebook, Redes Sociales y portales Inmobilia...,Madrid,23/03/16
Especialista en Marketing online: Redes Sociales, Analítica y...,Manresa,21/07/16
Estudiante en prácticas de Community Manager (E-Marketing, SE...,Barcelona,24/03/11
Etalonador pro en Lustre, Quantel, Nucoda y Da Vinci,Barcelona,24/04/10
Etalonador/Colorista (Online, Publicidad, Videoclip y Cine),Barcelona,04/12/15
Expert@ en Comunicación Digital, SEM y SEO,Valencia,25/07/16
Experto  Unity 3D, modelado y animación 3D,En remoto,07/06/16
Experto ASP.NET WebForms VS 2012 HTML5 , CSS3, JQuery , Jav...,Madrid,22/04/14
Experto Javascript, AngularJS,Las Rozas,22/03/16
Experto PrestaShop,Diseño Grafico y Diseño Web,Badajoz,23/12/11
Experto en Desarrollo Web (HTML 5, CSS, PHP,MSQL. Wordpress, ...,Madrid,24/02/14
Experto en HTML5, Javascript, CSS3, MySQL y MVC,Barcelona,16/03/15
Experto en SEO, Marketing por internet y Comparadores,Alcalá de Henares,21/11/13
Experto en SEO, SEM y analítica,Barcelona,26/02/14
Experto en Wordpress, Prestashop, código HTML y CSS,Barcelona,15/06/15
FRODEV Frontend Developer (Javascript, especially AngularJS),Barcelona,11/12/14
Fashion Creative Director – O Porto (Portugal),Oporto, Portugal,21/01/11
Fashion Creative Director – O Porto (Portugal),Oporto, Portugal,23/02/11
Fashion Marketing Lecturers in Beijing, China,Pekín, China,29/09/15
Flash 2D-Animator,Sachseln, Suiza,07/03/16
Flash Developer and Animator, Pleno,Florianópolis, Brasil,22/01/10
Flash Developer, Programmer and Designer,Barcelona,15/04/09
Flash con diseño (PHP, AIR...),Madrid,13/07/09
Flash developer,Zagreb, Croacia,25/04/12
Flashero / ActionScript (freelance),Valencia, Venezuela, República Bolivariana de,21/10/11
Formador especializado,Graz, Austria,16/04/09
Formador para Curso avanzado en Programación javaScript, CSS3...,Madrid,02/01/14
Fotógrafo Autónomo/Freelance, La Coruña,En remoto,22/11/12
Fotógrafo Freelance,Milán, Italia,05/11/15
Fotógrafos, Periodistas, Escritores, Bloggers...,Pakse, República Democrática Popular de Lao,09/09/10
Freaks del iPhone, Android y/o Blackberry,Madrid,03/12/09
Freelance Photographer and Videomaker,Lyon, Francia,06/10/15
Freelance developer PHP, MySQL, Java, JQuery, CSS,Barcelona,19/03/09
Freelance para curso de Animación Avanzado: 3Ds Max, Unity & ...,Madrid,09/09/15
Freelance programación entorno Web, html,Villaviciosa de Odón,02/11/11
Freelance web and app development (iOS, Android, WP8, C#, dot...,Madrid,24/02/15
French, German and Italian software developers needed for tes...,Indifferent / remotely (from home),18/02/15
Front developer (css, javascript, xhtml),Madrid,31/08/10
Front end developer Alemania,Niederdorla, Alemania,26/12/12
Front-end Developer,Praga, República Checa,06/05/14
Front-end HTML5, CSS3, Jquery,Valencia,15/01/15
Front-end developer (html5, css3, jquery, twig),Barcelona,09/12/14
Front-end web developer, UX,Madrid,01/12/15
Full Time Fashion Design Lecturer in Beijing, China,Pekín, China,12/11/15
Full time Fashion Marketing Lecturer,New Territories, Hong Kong,15/10/15
Full time Interior Design Lecturer,New Territories, Hong Kong,15/10/15
Full-Stack Developer,Hamburgo, Alemania,08/09/15
Functional Analyst J2EE/Swing,Lausana, Suiza,20/08/12
Game Artist in Berlin,Berlín, Alemania,14/01/14
Game Artist,Dublín, Irlanda,07/03/16
Game Developer Flash AS2,Hamburgo, Alemania,02/10/14
Game Developer PHP Backend,Hamburgo, Alemania,02/10/14
Game Producer,Manila, Filipinas,12/02/10
Generalist 3D,Montreal, Canadá,07/07/16
Gestor de Incidencias IT,Múnich, Alemania,09/06/16
Global Interior Designer,Bangalore, India,17/09/15
Grafista senior, para impartir formación avanzada de grafismo...,Madrid,20/06/14
Graphic Designer Guru Intern,Berlín, Alemania,19/10/11
Graphic Designer,Düsseldorf, Alemania,14/08/15
Graphic Designer,Gibraltar, Gibraltar,05/05/16
Graphic Designer,Gibraltar, Gibraltar,08/12/15
Graphic Designer,Zúrich, Suiza,17/11/15
Graphic Designer/Layouter,Estocolmo, Suecia,26/10/11
Graphic and Web Designer,Múnich, Alemania,25/11/16
Guionista,Giza Governorate, Egipto,05/09/11
Head of Frontend Development,Berlín, Alemania,28/08/12
Head of Motion Graphics,Santa Cruz de la Sierra, Bolivia, Estado plurinacional de,16/07/13
Healthcare Senior Account Manager Lisboa,Lisboa, Portugal,13/09/16
Help Desk de sistemas, 2º nivel (Linux con inglés),Barcelona,01/03/12
Html5, Front-End developer,Rijswijk,25/02/13
INFOGRAFIA, DISEÑO, VIDEO Y WEB,Orihuela,23/04/11
Illustrator, Artist or Graphic Designer for fictional archite...,Barcelona,18/09/14
Illustrator,Sachseln, Suiza,28/03/14
Ilustrador de lettering, tipografía y caligrafía mano,Madrid,10/03/15
Ilustrador, Maquetador y Animador,Barcelona,23/01/10
Ilustrador, diseñador, dibujante de comics,Indiferente,09/09/11
Ilustrador/a, Diseñador/a Gráfico textil,Mataró,06/08/14
Ingeniero de Software,Toulouse, Francia,21/10/13
Ingeniero de sistemas,Lisboa, Portugal,04/09/13
Ingeniero o Doctor en Informática, Matemáticas, Física o similar,Barcelona,31/07/15
Ingenieros Node, JS y MongoDB,Madrid,22/05/14
Ingenieros de desarrollo iPhone, Android y Blackberry,En remoto,09/10/09
Interactive / Digital Designer,Amberes, Bélgica,14/09/13
Interior  Designer,Spain, Italy, Poland, Estonia,12/03/14
Interior Design Lecturers in Beijing, China.,Pekín, China,30/09/15
JUNIOR  UI designer/front end developer,Berlín, Alemania,22/07/11
Java Back-end Developer Specialist,Milán, Italia,20/02/12
Java Back-end Developer Specialist,Milán, Italia,20/02/12
Java Software Developer,Grenoble, Francia,20/02/15
Java front-end Analyst Developer,Bruselas, Bélgica,10/07/13
JavaScript Senior Web Developer,Bruselas, Bélgica,10/07/13
Jefe de Proyecto, Business Intelligence,Madrid,15/03/12
Joomla, CakePHP y diseño gráfico,Barcelona,17/01/13
Junior Graphic Designer,Düsseldorf, Alemania,21/04/16
Junior Open-source Web Programmer (Linux Apache MySQL PHP, Jo...,Barcelona,12/06/12
Junior Packaging Designer (m/f),Hamburgo, Alemania,22/10/15
Junior Web Developer,Viena, Austria,20/08/13
Junior designer, packaging design,Hamburgo, Alemania,18/03/14
Junior web developer,Ordino, Andorra,13/06/16
LAMP, WordPress Developer,Barcelona,17/05/16
Lead  Architect,Spain, Italy, Poland, Estonia,12/03/14
Lead Game Designer Auckland,Auckland, Nueva Zelanda,23/08/11
Linux-System Engineer for the maintenance of the serverfarm,Berlín, Alemania,28/08/12
Magento Developer (Teamlead, Senior, Junior),Barcelona,10/02/17
Magento,Estamos en Bogotá Colombia, es un trabajo remoto,11/12/12
Mantenimiento web, persona especialista en comercio eletronico,Madrid,27/05/13
Maquetador (HTML, CSS) / Programador Web (PHP/Mysql/Javascrip...,Madrid,06/10/11
Maquetador (HTML, CSS) / Programador Web (PHP/Mysql/Javascrip...,Madrid,10/05/11
Maquetador / Diseñador Web y Móvil Junior (javascript, html...,Madrid,26/09/14
Maquetador Front–End, HTML5-CSS3 Inglés,Madrid,03/12/15
Maquetador HTML, CSS y Javascript,Madrid,24/10/08
Maquetador HTML, Xhtml, Css2,Madrid,30/08/11
Maquetador HTML5, CS3, Responsive Design,Madrid,21/11/12
Maquetador HTML5, CSS3 y JQuery,Madrid,15/11/13
Maquetador Magento (HTML, CSS),Madrid,11/07/11
Maquetador XHTML, CSS, Ajax,Alcobendas,11/06/09
Maquetador web (HTML, CSS, JQUERY),Madrid,20/06/12
Maquetador web junior-T2O Admedia Services, S.L,Madrid,16/11/11
Maquetador web, programador, desarrollador,Barcelona,16/02/12
Maquetador | Diseñador Gráfico,San Salvador, El Salvador,21/04/15
Maquetador, UI / UX Developer,Madrid,08/03/13
Maquetador, diseñador, programador...,Madrid,15/09/11
Maquetador/a web freelance CSS, XHTML, JAVA SCRIPT,Bilbo,19/11/10
Maquetador/programador web HTML, PHP,Gerona,11/12/15
Maquetadores WEB (HTML 5, Javascript,CSS, XHTML),Madrid,25/08/11
Maquetadores Web (HTML,XHTML,CSS)-Incorporacion Inmediata,Madrid,30/08/11
Maquetadores expertos HTML5, CSS3, Jquery,Madrid,09/06/15
Marketing Analyst, Growth Hacker,Barcelona,17/08/15
Marketing Manager,Mgarr, Malta,18/12/15
Marketing Master Intern,Berlín, Alemania,19/10/11
Marketing digital y posicionamiento,Mgarr, Malta,22/06/15
Marketing manager,Todas, India,17/10/11
Marketing, Publicidad y Comunicación Audiovisual freelance,Barcelona,08/09/09
Media Buyer,Berlín, Alemania,13/07/16
Mediawiki, implementación y desarrollo...,Indiferente,19/01/09
Mobile App Quality Assurance &amp; Testing (functional, end u...,Barcelona,20/02/12
Mobile Apps Programmer Analyst-Neosono, SL,Barcelona,16/11/11
Mobile Developer,Berlín, Alemania,08/09/16
Mobile apps designer,Anywhere, just be online,07/08/15
Modelos para catalogo ropa, no hace falta experiencia,Barcelona,08/10/10
Montador multimedia (Flash, vídeo y 3D),Boadilla del Monte,09/03/10
Motion Designer,Montreal, Canadá,07/07/16
Motion Designer,Wiesbaden, Alemania,27/02/15
Motion Graphics Designer (m/w),Múnich, Alemania,08/03/16
Motion Graphics Designer,Frisinga, Alemania,13/06/16
Motion Graphics Operador de AfterEfects,Andorra la Vella, Andorra,17/03/14
Motion Graphics, 3D, Fotografía, Publicidad, Diseño,Madrid,28/12/11
Motiongrapher freelance, residente en Madrid,Madrid,24/04/13
Motiongrapher, edición audiovisual,Barcelona,20/09/16
Multimedia Design Lecturers in Beijing, China.,Pekín, China,30/09/15
Multimedia Developer / Advertising Production,Berlín, Alemania,14/09/15
MySQL database specialist,Milán, Italia,20/02/12
Ninja FrontEnd: Experto Html5/CSS3/mediaQuery, cinturón negro...,Barcelona,08/11/13
Nous cherchons un créateur de pub,Sidi M'Hamed, Algeria,02/12/13
Oferta para Analistas Programadores de JEE, Struts, Hibernate...,Madrid,09/06/12
Open-source Web Programmer (Linux Apache MySQL PHP, Joomla),Barcelona,12/06/12
Operador Cinema 4, ilustrador y After Effects,Madrid,16/05/11
Operador Senior en NUKE, MARY, HIERO para formaciones a nivel...,Madrid,06/12/13
Operador Smoke Senior,Distrito de Lima, Perú,03/06/14
Operador de 5D, 7D o similar,Murcia,09/02/12
Operador de Cámara, Realizador y Editor,Zaragoza,15/09/16
Operador freelance de Shake, Nuke,Madrid,03/12/09
PHP Coder Cowboy with a startup mentality,Berlín, Alemania,19/10/11
PHP Developer,Berlín, Alemania,08/09/16
PHP Developer,Il-Mosta, Malta,26/12/15
PHP Developer,Libre, Horario Libre,23/09/10
PHP Senior Developer, Framework (Symphony, Cake),En remoto,26/05/10
PHP, CSS; JUMBLA  Sugar CRM,Darnétal, Francia,28/10/10
PHP, Javascript y MySQL. Entorno Wordpress,Madrid,25/08/09
PROGRAMADOR PHP, MYSQL... presencial (No freelance),Vigo,12/08/11
PROGRAMADOR/A APLICACIONES ANDROID-ATENEROM, S.L.,Barcelona,01/12/11
PROGRAMADOR/A APLICACIONES IPHONE/IPAD-ATENEROM, S.L.,Barcelona,01/12/11
Packaging Designer (m/f),Hamburgo, Alemania,23/10/15
Perfil Senior .NET Proyecto Bruselas,Bruselas, Bélgica,20/02/12
Perfil Sharepoint Proyecto Bruselas,Bruselas, Bélgica,20/02/12
Photoshop Artist for Post-Production/Retoque Digital,Dornstetten, Alemania,17/06/16
Productor de muñecos (no vinilo) , tejedor/ora,Cartaya,28/04/11
Profesional para gestión, ventas y promoción de productos onl...,Indiferente,09/02/11
Profesor de AngularJS, Node.js y Backbone,Madrid,03/02/14
Profesor de PHP,Vícov, República Checa,06/05/14
Profesor de desarrollo PHP/MySQL, WordPress y e-commerce,Madrid,29/05/14
Programador  AJAX, jQuery ....,Barcelona,08/10/12
Programador  Life Ray, JDeveloper, EJB 3 Barcelona,En remoto,30/05/11
Programador (BBDD, BI, servidor),Barcelona,19/12/11
Programador / Maquetador (AS3, HTML, Php),Madrid,09/06/11
Programador / Maquetador HTML,CSS, Javascript,Madrid,31/08/11
Programador / Maquetador Web (Php, HTML) Freelance,Pamplona,10/06/11
Programador AS3, PHP Y MySQL (tiempo completo),Ciudad de México,07/12/10
Programador ASP, PHP y AS,Valencia,19/06/10
Programador Adobe LiveCycle,París, Francia,29/09/14
Programador Android Nativo (Background Service),S.Sebastián/Donostia, a poder ser,22/03/16
Programador Android, iPhone, Symbian,Madrid,13/08/10
Programador Cobol, db2, cics,En remoto,21/11/12
Programador Desarrollador  HTML5, CSS3, JQUERY,Madrid,09/02/12
Programador Desarrollador Red Social,Segrate, Italia,27/09/11
Programador Drupal, con conocimientos de IOS y Android.,Madrid,29/11/12
Programador Flash (AS, Flex...),Madrid,16/09/09
Programador Flash (AS2, AS3),Madrid,27/06/09
Programador Flash Air, Action Script,Barcelona,18/01/10
Programador Flash, XML,Barcelona,22/04/10
