puesto,ciudad,fecha
UI / UX Architect,Barcelona,23/10/13
UX/UI designer (mobile),Indiferente,07/09/15
UX/UI Designer CSS,Barcelona,24/01/17
Diseñador UX,Donostia,21/08/15
Web / UX / UI designer,Vigo,10/05/12
Diseñador web Senior UX/UI,Palma,28/10/15
UI/UX Designer,Barcelona,22/05/15
MARCA.com: Designer/Coder UI-UX,Madrid,06/05/11
Web Designer (UX/UI),Barcelona,12/02/15
Diseñador UX/UI para app freelance,Barcelona,20/01/17
Diseñador UI/UX Apps,Murcia,25/04/14
Diseñador UX,Madrid,12/12/16
Diseñador/Maquetador Web UI/UX,Madrid,15/09/16
Intern UX Designer,Barcelona,22/04/16
Consultor UX Junior,Madrid,16/11/11
Instalador Wowza/Config. Servidores Web Linux-Windows,Valencia,17/02/11
UX Designer Team Lead,Madrid,17/06/14
UX/UI designer,Barcelona,07/09/16
Diseñador Web – UI & UX Design/ Frontend Developer,Zaragoza,16/02/17
Ux Designer,Madrid,02/07/15
Web/UX/UI DESIGNER,Barcelona,28/05/12
Responsable de UX/UI para ticketea.com,Madrid,23/07/13
Diseñador UX,Madrid,08/09/15
Experto/a en UX,En remoto,16/08/16
UX / IU Designer,Barcelona,13/01/14
Director de Arte y UX,Madrid,10/10/16
Senior UI/UX Designer,Madrid,10/05/16
Crazy UX Designer,Valencia,21/07/15
UX/UI Lead,Madrid,16/02/17
UI/UX Designer,Barcelona,04/03/15
UX/UI and Graphic Designer,Madrid,01/09/16
Web & Mobile UX Designer,Barcelona,26/04/16
UX, UI, diseño y maquetación
UX/UI Designer,Barcelona,05/07/16
UX/UI Desing Manager- Oberta Publishing,Barcelona,26/02/15
UX Designer,Barcelona,11/08/14
UI/UX Designer,Finestrat,22/06/16
Diseñador UX,Madrid,14/08/15
UX/UI Designer,Barcelona,12/02/16
UX / UI Designer,Pozuelo de Alarcón,09/02/17
Designer UX/UI,Barcelona,17/03/16
Diseñador de interacción web (UX web),Cádiz,12/04/12
Front-end developer (UI / UX / Mobile),Bilbo,05/03/14
UX Junior,Madrid,30/05/16
Operating System LINUX SuSe,Madrid,15/06/11
Administrador Sistemas Linux Técnico Microinformática,Barcelona,23/04/15
UX Designer,Madrid,06/03/17
Diseñador/a UX-UI Senior,Bilbao,24/01/17
Diseñador Web / Usuabilidad / IUX,Madrid,11/03/16
Administrador/a de BBDD (ORACLE y MySQL) en entornos LINUX/AIX,Cornellà de Llobregat,23/11/15
Front-end developer (UX/UI),Barcelona,12/02/15
UI &amp; UX mobile designer (beca),Ciudad Juárez,20/02/12
Consultor UX,Madrid,31/05/16
UX especialistas en Diseño de Interacción,Barcelona,12/02/14
Designer (UX/UI FrontEnd),Barcelona,18/08/16
Diseñador Visual UI/UX,Madrid,22/04/15
Junior UX tester/analyst,Madrid,13/01/16
Consultor experto UX,Barcelona,23/01/12
UX Researcher,Sant Cugat del Vallès,14/02/17
UX- CONSULTOR DE USABILIDAD,Pozuelo de Alarcón,25/08/15
