puesto,ciudad,fecha
Programador web,Barcelona,01-12-09
Arquitecto-a de Contenidos,Barcelona,01-12-09
Programador ASP,Barcelona,01-12-09
Programador PHP,Barcelona,01-12-09
Maquetador,Barcelona,30-11-09
Programador,Barcelona,27-11-09
Project Manager Interactivo,Barcelona,26-11-09
Dissenyadora Flash. Webmaster,Barcelona,14-12-09
Programador,Barcelona,11-12-09
Ejecutivo de Cuentas Senior,Barcelona,10-12-09
Diseñador-a Web Senior,Barcelona,09-12-09
Comercial con cartera de clientes,Barcelona,09-12-09
Director de Departamento de Creatividad y Diseño,Barcelona,09-12-09
Dibujante en Flash,Barcelona,09-12-09
Diseñador y Programador en Flash freelance,Barcelona,04-12-09
Web Designer,Barcelona,04-12-09
Front-End Developer,Barcelona,10-01-10
Senior Web Designer,Barcelona,30-12-09
Diseñador gráfico y multimedia,Barcelona,26-12-09
Desarrollador Web,Barcelona,24-12-09
Desarrollador Web,Barcelona,22-12-09
Web Developer Java freelance,Barcelona,21-12-09
Web developer,Barcelona,18-12-09
Comercial y-o Director de Cuentas freelance,Barcelona,17-12-09
Community Development Manager,Barcelona,16-12-09
Artista 2D Senior,Barcelona,19-01-10
Artista Flash,Barcelona,19-01-10
Programador en Ruby Ruby on Rails y Perl,Barcelona,18-01-10
Programador TPV Virtual,Barcelona,18-01-10
Programador Flash Air Action Script,Barcelona,18-01-10
Diseñador Web freelance,Barcelona,18-01-10
Programador freelance para varios proyectos,Barcelona,18-01-10
Maquetador-Programador e-commerce,Barcelona,16-01-10
Diseñador gráfico especializado en interfaces,Barcelona,15-01-10
Animador 3D (Cinema 4D o similar),Barcelona,14-01-10
Diseñador de Interacción y UX,Barcelona,14-01-10
Comerciales freelance,Barcelona,13-01-10
PHP developer-HTML prototyping,Spain (preferrably Barcelona but all over for the right candidate),12-01-10
Ilustrador Maquetador y Animador,Barcelona,23-01-10
Programador-Desarrollador freelance,Barcelona,22-01-10
Programador de videojuegos,Barcelona,19-01-10
Artista 3D modelador de entornos,Barcelona,19-01-10
Animador 3D,Barcelona,19-01-10
Search Engine Marketing Specialist,Barcelona,05-02-10
Copywritter,Barcelona,05-02-10
Desarrollador Backend (RoR PHP SQL y AJAX),Barcelona,04-02-10
Sales Professional,Barcelona,04-02-10
Programador-Diseñador,Barcelona,03-02-10
Game Designer (Sports),Barcelona,02-02-10
Modelador de personajes,Barcelona,02-02-10
Passionate Web Developer (PHP and-or Rails),Barcelona,01-02-10
Programador-Animador Flash,Barcelona,30-01-10
Programador Web,Barcelona,27-01-10
Programador PHP-MySQL y Ajax freelance presencial,Barcelona,09-02-10
Becario para Marketing Online,Barcelona,08-02-10
Operador 3D fotorrealista-CGI,Barcelona,08-02-10
Programador en SOAP XML PHP y AJAX,Barcelona,12-02-10
Project Manager Interactivo,Barcelona,12-02-10
Responsable de redes sociales y Diseñador,Barcelona,11-02-10
Desarrollador AS3,Barcelona,10-02-10
Programador freelance,Barcelona,24-02-10
Programador,Barcelona,23-02-10
Diseñador Web para estudio,Barcelona,19-02-10
PHP Developer @ Wiki People,Barcelona,26-02-10
Flash Developer @ Wiki People,Barcelona,26-02-10
Director de Arte on-offline,Barcelona,26-02-10
Animador Flash,Barcelona,26-02-10
Programador interactivo (AS2 PHP y MySQL),Barcelona,26-02-10
Programador-Maquetador Web,Barcelona,26-02-10
Diseñador Web creativo,Barcelona,26-02-10
Programador 3D,Barcelona,25-02-10
Programador de móviles,Barcelona,25-02-10
Programador PC,Barcelona,25-02-10
Actualización de contactos freelance,Barcelona,09-03-10
Agente personal,Barcelona,07-03-10
Passionate Web Developer (PHP and-or Rails),Barcelona,05-03-10
Artista 3D Animador,Barcelona,02-03-10
Diseñador Gráfico Multimedia,Barcelona,16-03-10
Director Creativo online,Barcelona,16-03-10
Diseñador de Interacción experto en Diseño Gráfico,Barcelona,15-03-10
Consultores de UX-Arquitectura de Información,Barcelona,15-03-10
Redactor publicitario,Barcelona,11-03-10
Programador Web freelance,Barcelona,11-03-10
Freelance Flash,Barcelona,11-03-10
Becario,Barcelona,24-03-10
Director Creativo,Barcelona,18-03-10
Diseñador Web Flash y con base en Diseño Gráfico,Barcelona,17-03-10
Community Manager,Barcelona,17-03-10
Senior Developer,Barcelona,01-04-10
Programadores con conocimientos de PHP y .NET,Barcelona,30-03-10
Programador Web en prácticas,Barcelona,29-03-10
Maquetador-Desarrollador,Barcelona,25-03-10
Programador Web en prácticas,Barcelona,13-04-10
Programador Magento,Barcelona,12-04-10
Programadores en diversos entornos o lenguajes,Barcelona,09-04-10
Ejecutivo de Cuentas,Barcelona,07-04-10
Becario,Barcelona,06-04-10
Programador-Diseñador Flash freelance,Barcelona,06-04-10
Comercial,Barcelona,23-04-10
Programador Flash XML,Barcelona,22-04-10
Programador,Barcelona,21-04-10
Comercial freelance,Barcelona,19-04-10
Programador creativo,Barcelona,16-04-10
Programador en PHP,Barcelona,15-04-10
Programador en .NET,Barcelona,15-04-10
Diseñador Gráfico,Barcelona,30-04-10
Programador AS3,Barcelona,29-04-10
Affiliate Marketing Specialist,Barcelona,28-04-10
