puesto,ciudad,fecha
Becario/a,Barcelona,07/05/12
Becario Diseñador Web,Barcelona,27/01/17
Becario de COPY (ATL,BTL),Madrid
Becario maquetación,Madrid,07/02/12
Becario Community Manager con francés e italiano,Barcelona,24/01/13
Becario de Marketing de Contenidos,Madrid,26/04/16
Becarios fotografía y retoque,Madrid,01/08/11
Becario Marketing Online,Madrid,27/07/15
Becario departamento de Comunicación/Marketing,Barberà del Vallès,31/01/12
Becario para Departamento de Marketing y Comunicación,San Sebastián de los Reyes,13/07/10
Becario Dpto Informático,Madrid,17/04/13
Becario para Departamento Diseño On y Off Line,Barcelona,29/09/15
Becario Soporte y Administración de Sistemas,Madrid,23/12/14
Becario Marketing,Madrid,01/08/16
Becario Diseño Gráfico y Web,Alcobendas,17/03/14
Asistente de producción de street marketing. Becario,Barcelona,26/05/10
Becario Diseñador de Moda Junior,Badalona,03/04/14
Becario en el departamento SEO,Madrid,14/09/15
Becario desarrollador junior web html y Action script,Madrid,02/01/12
Becario de Diseño Gráfico/Web,Madrid,16/03/10
Becario diseñador gráfico,Madrid,10/07/12
Becario Diseño Gráfico,Barcelona,04/11/15
BECARIO ARTE/FLASHERO,Madrid,01/10/10
Becario/a Diseño Gráfico Prácticas,Barcelona,10/02/17
Becario Diseño Gráfico,Madrid,17/03/16
Diseñador off y online Becario,Madrid,07/10/15
BUSCAMOS JUNIOR CRATIVE PROJECT MANAGER (BECARIO con POSIBILI...,Barcelona,22/07/11
Becario/a Diseño Gráfico/Web,Barcelona,10/05/11
Becario Diseñador Web,Pozuelo de Alarcón,23/03/15
Becario,Barcelona,06/04/10
Becario Front-End designer,Sant Cugat del Vallès,12/02/13
Becario Diseño Web ATRAPALO,Barcelona,29/12/11
Becario Motion Graphics,Barcelona,18/01/16
Becario / Diseño Gráfico,Barcelona,31/08/16
Becario Antropólogo,Madrid,04/05/11
Becario SEO Marketing Online,Barcelona,11/10/16
Becario Publicidad (chino nativo),Barcelona,24/03/16
Becario/a diseño gráfico Barcelona,Barcelona,21/09/11
Becario Community Manager,Madrid,11/07/11
Director de arte digital BECARIO,Madrid,18/04/11
Becario Diseño Gráfico,Valencia,05/07/16
Becario Social Media,Barcelona,04/10/11
Becario Webmaster,Madrid,17/10/14
Becario Redes Sociales,Las Rozas,10/12/14
Becario departamento creativo,Valencia,19/07/11
Becario-Diseñador Gráfico MADRID,Madrid,16/05/11
Becario Diseño Gráfico y Páginas Web,Madrid,21/11/12
Becario Community Manager,Madrid,06/09/11
Becario Content Marketing,Barcelona,17/05/16
Becario marketing digital,Barcelona,26/02/13
Becario para Ejecutivo de Cuentas de Moda,Barcelona,22/12/11
Programador Interactivo como Becario,Barcelona,21/01/09
Becario Diseñador Grafico Web, Digital and Print,Barcelona
Becario E-Commerce,Sant Boi de Llobregat,23/02/12
Becario/a en Gestión de Contenido,Barcelona,28/10/16
Becario/a Área de Innovación,Madrid,05/05/15
Becario Desarrollador PHP/MYSQL,Barcelona,14/06/11
Becarios Social Media,Sant Cugat del Vallès,26/06/12
Becario programador PHP, Ajax, E-Commerce
Becario para eventos,Madrid,23/09/15
Becario Diseñador Asistente de Producción (ecommerce),Barcelona,21/03/12
Becario Diseño/PowerPoint,Valencia,20/09/12
Becario Diseño gráfico Web,Barcelona,17/05/11
Becario Diseñador Gráfico y Web,Barcelona,20/06/12
Becario Ilustrador/a Prácticas,Barcelona,31/01/17
